Timepoint,Phase,N_Models,R2_Mean,R2_CI_Lower,R2_CI_Upper,R2_CI_Width,MAE_Mean,MAE_CI_Lower,MAE_CI_Upper,MAE_CI_Width,RMSE_Mean,RMSE_CI_Lower,RMSE_CI_Upper,RMSE_CI_Width
12W,Phase 1: Linear,9,-1.2372104493960683,-3.8174129131219035,0.1111045455550631,3.9285174586769664,6.029159860187746,4.8511799752032045,8.133061822972758,3.2818818477695535,8.489688254990382,6.441718881180922,12.206518903269163,5.764800022088242
12W,Phase 2: Classical ML,10,0.10286511432224132,0.07693784378806898,0.12794019085192257,0.05100234706385359,4.898800176003377,4.799824532128293,5.006308310083543,0.20648377795524997,6.515808614016561,6.443710061601406,6.596379891844473,0.15266983024306668
12W,Phase 3: Ensembles,5,0.026501148336476217,-0.07399219465557397,0.09074161620414305,0.164733810859717,5.148493488186629,4.997732927163642,5.296526137996989,0.2987932108333471,6.754719648696613,6.571625278883786,7.009604816676491,0.43797953779270493
12W,Phase 4: Deep Learning,7,-0.0215170266791918,-0.15080004783234044,0.08465125014706933,0.23545129797940978,5.132004101533746,4.941143058285516,5.32099215368739,0.37984909540187406,7.032141627473758,6.720000201712713,7.37246293759379,0.6524627358810768
12W,Phase 5: Time-Series,12,-0.18010346005541003,-0.5156655354818028,0.04821344954973424,0.5638789850315371,5.663196744433964,5.155610066974851,6.375254559121329,1.219644492146478,7.046347927332868,6.658301015673929,7.636773462508632,0.9784724468347035
24W,Phase 1: Linear,9,-1.0279613170063218,-2.963777339527977,0.05741392055219549,3.0211912600801725,5.7851404985195165,4.739465750999235,7.4081612258911,2.668695474891865,8.549193139559527,6.650607001206002,11.675131456550439,5.024524455344436
24W,Phase 2: Classical ML,10,0.06638184891380901,0.033060842547417,0.0978385557988796,0.06477771325146259,4.626621159894578,4.5600139414710785,4.697599600719307,0.13758565924822808,6.616455010763704,6.48614674168544,6.758162563923993,0.27201582223855336
24W,Phase 3: Ensembles,5,0.1331561822294674,0.1062908173623393,0.16787864225757268,0.06158782489523339,4.652035237820202,4.498903813419945,4.766114130531763,0.2672103171118181,6.352306995490546,6.26447373669634,6.427922681787004,0.1634489450906642
24W,Phase 4: Deep Learning,7,-0.01147827835734858,-0.1719009106490758,0.11926708010116722,0.291167990750243,4.904949933786654,4.683915843720912,5.170334277549805,0.48641843382889327,7.218715929608068,6.75887904892446,7.770302577439145,1.011423528514685
24W,Phase 5: Time-Series,12,-0.19954772752181263,-0.48723374265345654,-0.001981893669918789,0.48525184898353774,5.393037434154397,5.060243757401021,5.917786331587863,0.8575425741868425,7.130711350351395,6.851124783143981,7.543789721186383,0.6926649380424017
