Feature_Index,Feature_Name,RF_Importance,RF_Importance_Normalized,Importance_Rank
25,feature_25,0.4969672925980882,49.69672925980882,16
3,feature_3,0.06768255113020687,6.768255113020687,17
17,feature_17,0.06691409536011704,6.691409536011704,24
19,feature_19,0.06292484292514841,6.292484292514841,9
21,feature_21,0.0532628856724165,5.32628856724165,7
1,feature_1,0.05117648859410767,5.117648859410767,25
4,feature_4,0.04878719439372163,4.878719439372163,19
22,feature_22,0.044347275969901165,4.4347275969901165,14
5,feature_5,0.038259307833215545,3.8259307833215543,21
10,feature_10,0.009227673490145026,0.9227673490145025,10
23,feature_23,0.009138442169249243,0.9138442169249243,8
2,feature_2,0.008214543624113392,0.8214543624113393,3
20,feature_20,0.006177384736411301,0.6177384736411301,6
18,feature_18,0.005086326337405311,0.508632633740531,13
11,feature_11,0.004970774878293347,0.4970774878293347,23
12,feature_12,0.004764812648488514,0.4764812648488514,2
24,feature_24,0.004473532762342596,0.4473532762342596,15
13,feature_13,0.0040088880866184125,0.40088880866184123,20
9,feature_9,0.003866837943089152,0.3866837943089152,5
6,feature_6,0.0027399846897186515,0.27399846897186514,1
7,feature_7,0.002483517498064951,0.2483517498064951,4
14,feature_14,0.0018668796269956048,0.18668796269956048,18
8,feature_8,0.0014861837700940043,0.14861837700940042,22
15,feature_15,0.0009931295845177638,0.09931295845177637,11
16,feature_16,0.00017915367752977917,0.017915367752977918,12
