Comparison,Metric,Mean_Diff,P_Value,Significance,Cohens_D,N1,N2,Timepoint
Phase 1 vs Phase 2,test_r2,-1.3400755637183095,0.7750513736700824,ns,-0.5265872541384493,9,10,12W
Phase 1 vs Phase 3,test_r2,-1.2637115977325446,0.6063936063936064,ns,-0.49641879510103304,9,5,12W
Phase 1 vs Phase 4,test_r2,-1.2156934227168765,0.6064685314685315,ns,-0.4772692838905654,9,7,12W
Phase 1 vs Phase 5,test_r2,-1.0571069893406582,0.45554509378932984,ns,-0.4112058351088931,9,12,12W
Phase 2 vs Phase 3,test_r2,0.07636396598576511,0.20646020646020646,ns,0.992444083740945,10,5,12W
Phase 2 vs Phase 4,test_r2,0.12438214100143313,0.0702385849444673,ns,1.0623127592884682,10,7,12W
Phase 2 vs Phase 5,test_r2,0.2829685743776513,0.04431379228316605,*,0.7721319276516718,10,12,12W
Phase 3 vs Phase 4,test_r2,0.04801817501566802,0.8762626262626263,ns,0.3588041273782689,5,7,12W
Phase 3 vs Phase 5,test_r2,0.20660460839188624,0.5743374272786037,ns,0.5551436033796141,5,12,12W
Phase 4 vs Phase 5,test_r2,0.15858643337621822,0.8369453044375644,ns,0.4146212488330982,7,12,12W
Phase 1 vs Phase 2,test_mae,1.130359684184369,0.6533789106936937,ns,0.5568793218071247,9,10,12W
Phase 1 vs Phase 3,test_mae,0.8806663720011167,0.36363636363636365,ns,0.43382334655528165,9,5,12W
Phase 1 vs Phase 4,test_mae,0.8971557586539998,0.4078671328671329,ns,0.44096915490746813,9,7,12W
Phase 1 vs Phase 5,test_mae,0.3659631157537815,0.24095466870157012,ns,0.1684404656301833,9,12,12W
Phase 2 vs Phase 3,test_mae,-0.2496933121832523,0.05527805527805527,ns,-1.4568848278275623,10,5,12W
Phase 2 vs Phase 4,test_mae,-0.23320392553036928,0.0702385849444673,ns,-1.0682747282743443,10,7,12W
Phase 2 vs Phase 5,test_mae,-0.7643965684305876,0.006211000298815913,**,-0.9639219362588428,10,12,12W
Phase 3 vs Phase 4,test_mae,0.01648938665288302,1.0,ns,0.07489819393393057,5,7,12W
Phase 3 vs Phase 5,test_mae,-0.5147032562473353,0.3826761473820297,ns,-0.6486328922943189,5,12,12W
Phase 4 vs Phase 5,test_mae,-0.5311926429002183,0.2614114471699611,ns,-0.6599023395187938,7,12,12W
Phase 1 vs Phase 2,test_r2,-1.0943431659201308,0.06619257972219345,ns,-0.5743124992207028,9,10,24W
Phase 1 vs Phase 3,test_r2,-1.161117499235789,0.001998001998001998,**,-0.6094152774565131,9,5,24W
Phase 1 vs Phase 4,test_r2,-1.0164830386489732,0.35104895104895106,ns,-0.5322024848154661,9,7,24W
Phase 1 vs Phase 5,test_r2,-0.8284135894845092,0.695894823170777,ns,-0.4290254711706383,9,12,24W
Phase 2 vs Phase 3,test_r2,-0.0667743333156584,0.07525807525807525,ns,-1.4668740949320533,10,5,24W
Phase 2 vs Phase 4,test_r2,0.07786012727115758,0.8867749897161661,ns,0.5527294964313414,10,7,24W
Phase 2 vs Phase 5,test_r2,0.26592957643562165,0.03779708390871803,*,0.8394224975681562,10,12,24W
Phase 3 vs Phase 4,test_r2,0.14463446058681598,0.26767676767676774,ns,1.0456211929397827,5,7,24W
Phase 3 vs Phase 5,test_r2,0.33270390975128006,0.006140917905623788,**,1.0539308965947702,5,12,24W
Phase 4 vs Phase 5,test_r2,0.18806944916446405,0.2614114471699611,ns,0.5488326171299421,7,12,24W
Phase 1 vs Phase 2,test_mae,1.1585193386249388,0.016010990810517156,*,0.7284033429971034,9,10,24W
Phase 1 vs Phase 3,test_mae,1.1331052606993142,0.23976023976023977,ns,0.711662415461103,9,5,24W
Phase 1 vs Phase 4,test_mae,0.880190564732863,0.46975524475524477,ns,0.5483239428955096,9,7,24W
Phase 1 vs Phase 5,test_mae,0.3921030643651191,0.059663381250402686,ns,0.23187601842449737,9,12,24W
Phase 2 vs Phase 3,test_mae,-0.025414077925624667,0.594072594072594,ns,-0.18665688682068488,10,5,24W
Phase 2 vs Phase 4,test_mae,-0.2783287738920759,0.055327025915261216,ns,-1.1339768768370255,10,7,24W
Phase 2 vs Phase 5,test_mae,-0.7664162742598197,8.733926588357828e-05,***,-1.3087376782976436,10,12,24W
Phase 3 vs Phase 4,test_mae,-0.2529146959664512,0.4318181818181819,ns,-0.9869811435143689,5,7,24W
Phase 3 vs Phase 5,test_mae,-0.7410021963341951,0.0003232062055591467,***,-1.25545616277605,5,12,24W
Phase 4 vs Phase 5,test_mae,-0.48808750036774384,0.0831150273874732,ns,-0.7814940076857827,7,12,24W
