iter	RMSE
0	7.277277121
1	7.245433478
2	7.198507114
3	7.150550916
4	7.107289064
5	7.075967355
6	7.042138635
7	7.012199441
8	6.970632443
9	6.928274557
10	6.900662442
11	6.864166801
12	6.821351992
13	6.795324098
14	6.791891612
15	6.758612143
16	6.741024489
17	6.712729394
18	6.686507556
19	6.66123135
20	6.623323264
21	6.599288453
22	6.579606378
23	6.551287416
24	6.532050174
25	6.52364876
26	6.500964679
27	6.491081623
28	6.471517236
29	6.450842498
30	6.427648784
31	6.422629132
32	6.398673124
33	6.381752917
34	6.369694022
35	6.366566136
36	6.35023383
37	6.332063519
38	6.317590328
39	6.312750612
40	6.306914332
41	6.300782299
42	6.281429691
43	6.275205397
44	6.267686508
45	6.264702564
46	6.248238297
47	6.230333251
48	6.223876513
49	6.207480343
50	6.194478867
51	6.18870295
52	6.183518669
53	6.171823071
54	6.154679191
55	6.138777047
56	6.130670802
57	6.115353204
58	6.098848875
59	6.096172693
60	6.089363298
61	6.086237165
62	6.068802499
63	6.065436425
64	6.053405438
65	6.0405228
66	6.028033169
67	6.025204288
68	6.015652731
69	6.008231337
70	5.991084636
71	5.986735426
72	5.983045591
73	5.980775657
74	5.972787641
75	5.960550377
76	5.947023011
77	5.936495402
78	5.925589846
79	5.92292375
80	5.90993168
81	5.907517675
82	5.905037938
83	5.902226598
84	5.894879754
85	5.892695147
86	5.880951901
87	5.878823854
88	5.867184255
89	5.857418231
90	5.85503279
91	5.852122215
92	5.844086112
93	5.835796356
94	5.833667076
95	5.820038605
96	5.81123452
97	5.808825996
98	5.805614462
99	5.799282112
100	5.786675088
101	5.784023531
102	5.781946985
103	5.779326213
104	5.775914267
105	5.773386379
106	5.760395299
107	5.750073802
108	5.745187243
109	5.73556616
110	5.72519192
111	5.71708428
112	5.715166097
113	5.713365435
114	5.711045372
115	5.70930632
116	5.702323435
117	5.697268305
118	5.689295247
119	5.687573953
120	5.685747804
121	5.68314841
122	5.68131723
123	5.671270802
124	5.669516358
125	5.667782511
126	5.6644459
127	5.662768846
128	5.657331968
129	5.648084751
130	5.638807899
131	5.636544951
132	5.63429269
133	5.632578196
134	5.631034678
135	5.628446231
136	5.625256694
137	5.619570112
138	5.610368977
139	5.60861329
140	5.604692832
141	5.603157192
142	5.601688478
143	5.599257251
144	5.597728454
145	5.596287737
146	5.593005312
147	5.59095954
148	5.587890728
149	5.586199589
150	5.582565791
151	5.576831566
152	5.575369753
153	5.573926885
154	5.572213693
155	5.570728742
156	5.567784094
157	5.566432033
158	5.564661514
159	5.563280466
160	5.56176134
161	5.558041805
162	5.552780673
163	5.551029183
164	5.549102168
165	5.547764859
166	5.546040076
167	5.544104449
168	5.538972244
169	5.537725378
170	5.535540489
171	5.531209099
172	5.529929756
173	5.528568784
174	5.524105043
175	5.514265437
176	5.509933191
177	5.508621809
178	5.506009168
179	5.504251275
180	5.50289431
181	5.50166312
182	5.50040601
183	5.495539361
184	5.494318105
185	5.491704623
186	5.490340782
187	5.488767524
188	5.484615681
189	5.480684501
190	5.477618747
191	5.473763338
192	5.47221635
193	5.471131109
194	5.467934969
195	5.466728032
196	5.462877524
197	5.459154654
198	5.454913458
199	5.451325886
200	5.447658622
201	5.446133767
202	5.444650086
203	5.443179096
204	5.442014543
205	5.44056055
