iter	Passed	Remaining
0	0	68
1	0	60
2	0	54
3	0	49
4	1	48
5	1	46
6	1	45
7	1	44
8	1	42
9	2	41
10	2	41
11	2	41
12	2	40
13	2	40
14	3	39
15	3	39
16	3	38
17	3	38
18	3	38
19	4	39
20	4	41
21	4	41
22	5	41
23	5	40
24	5	40
25	5	39
26	5	39
27	6	39
28	6	38
29	6	38
30	6	38
31	6	37
32	7	37
33	7	37
34	7	36
35	7	36
36	7	36
37	8	35
38	8	35
39	8	35
40	8	34
41	8	34
42	9	34
43	9	34
44	9	34
45	9	33
46	9	33
47	10	33
48	10	33
49	10	32
50	10	32
51	10	32
52	11	31
53	11	31
54	11	31
55	11	31
56	11	30
57	11	30
58	12	30
59	12	30
60	12	29
61	12	29
62	12	29
63	13	29
64	13	28
65	13	28
66	13	28
67	13	28
68	14	27
69	14	27
70	14	27
71	14	27
72	14	27
73	15	26
74	15	26
75	15	26
76	15	26
77	16	26
78	16	26
79	16	26
80	16	25
81	16	25
82	17	25
83	17	25
84	17	25
85	17	24
86	18	24
87	18	24
88	18	24
89	18	24
90	19	24
91	19	23
92	19	23
93	19	23
94	19	23
95	20	23
96	20	22
97	20	22
98	20	22
99	21	22
100	21	22
101	21	21
102	21	21
103	21	21
104	22	21
105	22	20
106	22	20
107	22	20
108	22	20
109	23	20
110	23	19
111	23	19
112	23	19
113	23	19
114	24	19
115	24	18
116	24	18
117	24	18
118	24	18
119	25	18
120	25	17
121	25	17
122	25	17
123	25	17
124	26	16
125	26	16
126	26	16
127	26	16
128	27	16
129	27	15
130	27	15
131	27	15
132	28	15
133	28	15
134	28	14
135	28	14
136	28	14
137	29	14
138	29	14
139	29	13
140	29	13
141	29	13
142	30	13
143	30	13
144	30	12
145	30	12
146	31	12
147	31	12
148	31	12
149	31	11
150	31	11
151	32	11
152	32	11
153	32	10
154	32	10
155	32	10
156	33	10
157	33	10
158	33	9
159	33	9
160	34	9
161	34	9
162	34	9
163	34	8
164	34	8
165	35	8
166	35	8
167	35	8
168	35	7
169	35	7
170	36	7
171	36	7
172	36	6
173	36	6
174	37	6
175	37	6
176	37	6
177	37	5
178	37	5
179	38	5
180	38	5
181	38	5
182	38	4
183	38	4
184	39	4
185	39	4
186	39	4
187	39	3
188	40	3
189	40	3
190	40	3
191	40	2
192	40	2
193	41	2
194	41	2
195	41	2
196	41	1
197	41	1
198	42	1
199	42	1
200	42	1
201	42	0
202	43	0
203	43	0
204	43	0
205	43	0
