iter	RMSE
0	6.912420659
1	6.63631932
2	6.252470449
3	5.933706681
4	5.69109211
5	5.371651585
6	5.127579922
7	4.831208976
8	4.592680045
9	4.365633395
10	4.195936838
11	3.96273918
12	3.83154787
13	3.680982417
14	3.48700263
15	3.320838455
16	3.176597498
17	3.044067425
18	2.932927912
19	2.809673243
20	2.747443253
21	2.593152711
22	2.488633444
23	2.37262574
24	2.27728909
25	2.163709194
26	2.066706797
27	1.980550982
28	1.889866054
29	1.806196209
30	1.746918733
31	1.668776394
32	1.620058707
33	1.57031045
34	1.509509789
35	1.437973996
36	1.395966614
37	1.336817656
38	1.298047757
39	1.250802672
40	1.199109612
41	1.145908879
42	1.09173678
43	1.068163543
44	1.025300543
45	1.001992885
46	0.9639229397
47	0.9280055223
48	0.8953389938
49	0.8616013764
50	0.8329958658
51	0.8028182348
52	0.7732838119
53	0.7434441941
54	0.7162651374
55	0.6933785167
56	0.6712488599
57	0.6505925196
58	0.6354724978
59	0.6187004764
60	0.5984414076
61	0.5787529053
62	0.5551461428
63	0.5379422853
64	0.5207185024
65	0.5066668779
66	0.4914505749
67	0.4758976573
68	0.4639124651
69	0.4494377219
70	0.4356584688
71	0.4246500033
72	0.4124189899
73	0.4008449625
74	0.3900483414
75	0.3802101041
76	0.3733405607
77	0.3642049236
78	0.3557511372
79	0.3480617753
80	0.3400300654
81	0.3339089698
82	0.3257759847
83	0.3168993543
84	0.3084681308
85	0.3007239772
86	0.2945706822
87	0.2904862199
88	0.284040226
89	0.2780888667
90	0.2722520198
91	0.26612239
92	0.2604261547
93	0.2562509021
94	0.2508859985
95	0.2466805751
96	0.2426457819
97	0.2402809785
98	0.2356304216
99	0.2327706099
100	0.2286267912
101	0.2246176437
102	0.2200773428
103	0.2161085748
104	0.2121440679
105	0.2094321431
106	0.2056504738
107	0.2024534439
108	0.1989895747
109	0.1970050546
110	0.1932748756
111	0.1896981166
112	0.1882646695
113	0.1872022745
114	0.1857088235
115	0.1825306211
116	0.1815821565
117	0.1807558181
118	0.1778779733
119	0.1758518385
120	0.1735543393
121	0.1702659467
122	0.1685072006
123	0.1662513899
124	0.1653139725
125	0.1635234648
126	0.1610922189
127	0.1585607074
128	0.156308685
129	0.1538261792
130	0.1518853115
131	0.1495579051
132	0.1474954316
133	0.1450219582
134	0.1434311102
135	0.1413349633
136	0.1392135762
137	0.1380899214
138	0.135969163
139	0.1342028975
140	0.1317527525
141	0.1308377581
142	0.1287346669
143	0.1267597886
144	0.1251040514
145	0.1234442527
146	0.1226563683
147	0.1222282835
148	0.1215803691
149	0.1197007304
150	0.1186610633
151	0.1182336449
152	0.117170854
153	0.1153328708
154	0.1144335391
155	0.1130046563
156	0.1111368031
157	0.1100314369
158	0.1084333013
159	0.1074653638
160	0.1067990637
161	0.105994717
162	0.1050013333
163	0.1035582193
164	0.1022097985
165	0.1009464908
166	0.09990874027
167	0.09839206696
168	0.09799495893
169	0.09679129753
170	0.0957761317
171	0.09447247358
172	0.09333753646
173	0.09279993394
174	0.09169169505
175	0.09084243217
176	0.0896549993
177	0.08868708703
178	0.08803728919
179	0.08725332405
180	0.08669032696
181	0.08591577512
182	0.08482001715
183	0.0846245739
184	0.08444590691
185	0.08335773338
186	0.08312096863
187	0.08227640409
188	0.08182065348
189	0.08072637825
190	0.08009897719
191	0.07939934042
192	0.07926002745
193	0.07894548136
194	0.07784254783
195	0.0768864923
196	0.07678509806
197	0.07612678937
198	0.07537730831
199	0.07447024164
200	0.07371926147
201	0.07316560054
202	0.07286625563
203	0.07252141181
204	0.07149198467
205	0.07121261948
206	0.07018871573
207	0.06938719258
208	0.06888099517
209	0.06832805374
210	0.06779415727
211	0.06692055599
212	0.06649272445
213	0.06628562957
214	0.06614616029
215	0.0653254638
216	0.06487634242
217	0.06444972244
218	0.0635394483
219	0.06284782655
220	0.06245699244
221	0.06206392764
222	0.06142249911
223	0.0607485554
224	0.0605731045
225	0.06040721149
226	0.05969578344
227	0.05909093106
228	0.0583921822
229	0.05760189857
230	0.0572641585
231	0.05696895592
232	0.05648290272
233	0.05579120537
234	0.05519905111
235	0.05467138166
236	0.05439916448
237	0.05368614554
238	0.05355878141
239	0.0530423021
240	0.05279250809
241	0.05264502287
242	0.05207455413
243	0.05131277561
244	0.05101371683
245	0.0507344873
246	0.05021546672
247	0.05005857607
248	0.04939689303
249	0.04900895485
250	0.04862329684
251	0.0482795052
252	0.04784529162
253	0.04734435193
254	0.04694949363
255	0.04657115351
256	0.0460826372
257	0.04568828475
258	0.04533159171
259	0.04483986188
260	0.04460203486
261	0.04419541908
262	0.04375428289
263	0.04324538245
264	0.04287250503
265	0.04256623612
266	0.04240027768
267	0.04216252719
268	0.04205270425
269	0.04155984825
270	0.04124057371
271	0.04096364817
272	0.04056023218
273	0.04030813305
274	0.04004713393
275	0.03993216596
276	0.03977475676
277	0.03964342721
278	0.03925629525
279	0.03867250889
280	0.03817196736
281	0.03786777863
282	0.03767991564
283	0.03738520504
284	0.03699323444
285	0.03665230582
286	0.03627085532
287	0.03588939351
288	0.03571183224
289	0.03533243314
290	0.03506493989
291	0.03460577946
292	0.03422061407
293	0.03369932853
294	0.03349319273
295	0.03342402979
296	0.03319828015
297	0.0328727995
298	0.03257674962
299	0.03240780146
300	0.03234077351
301	0.03200591765
302	0.03181380914
303	0.03152577814
304	0.03122311487
305	0.03106118969
306	0.03067874088
307	0.03044875149
308	0.03032691316
309	0.03004915667
310	0.02972001645
311	0.02941912237
312	0.02930606288
313	0.02921676883
314	0.02896253854
315	0.02882943131
316	0.02868181307
317	0.0283944452
318	0.02827012998
319	0.02787427154
320	0.0277113896
321	0.02751592817
322	0.02726284805
323	0.02709168745
324	0.02693599602
325	0.02681395105
326	0.02650036319
327	0.02625488802
328	0.02608779944
329	0.02595113168
330	0.02572865504
331	0.02558294472
332	0.02544100245
333	0.02539727233
334	0.02517158662
335	0.0249798245
336	0.02471937585
337	0.02452420313
338	0.02430036871
339	0.02403905339
340	0.02370288752
341	0.02342093335
342	0.02324868866
343	0.02308464059
344	0.02280783096
345	0.02264904465
346	0.02257142289
347	0.02239560069
348	0.02235437683
349	0.02216005384
350	0.02197663034
351	0.02182961393
352	0.02168886452
353	0.02146835101
354	0.0211901585
355	0.02108335518
356	0.02095622527
357	0.02077762976
358	0.02054966127
359	0.02052227827
360	0.02028203649
361	0.02018172458
362	0.02007413
363	0.01993638294
364	0.0198624042
365	0.01972825457
366	0.01950339786
367	0.019470961
368	0.01936498646
369	0.01913531727
370	0.01906331743
371	0.01886889798
372	0.01870283672
373	0.01858770444
374	0.0183678064
375	0.01815922389
376	0.01798232938
377	0.01782484188
378	0.01762306273
379	0.01750208673
380	0.01736229552
381	0.01724539648
382	0.01706055603
383	0.01691604834
384	0.01676423132
385	0.01656898137
386	0.01634086607
387	0.01621230998
388	0.01602272215
389	0.01590512159
390	0.01583942046
391	0.01576156777
392	0.01562912071
393	0.01559076457
394	0.01544810743
395	0.01530174025
396	0.01514442792
397	0.01506995918
398	0.01495671337
399	0.01488892136
400	0.01473524663
401	0.01470145336
402	0.0146787989
403	0.01463719531
404	0.0145369399
405	0.0144749681
406	0.01438079046
407	0.01421231185
408	0.0141497872
409	0.01401596355
410	0.01382338224
411	0.01373312463
412	0.01359775891
413	0.01355848397
414	0.01353577531
415	0.01337738773
416	0.01322784676
417	0.01318447465
418	0.01308373976
419	0.0130277908
420	0.01293305859
421	0.01284822786
422	0.01280944884
423	0.01269011716
424	0.01267296185
425	0.0126401008
426	0.01257222247
427	0.01248714555
428	0.01243739749
429	0.01240969645
430	0.01226487944
431	0.0122243839
432	0.01211554593
433	0.01207307608
434	0.0120074037
435	0.01195343715
436	0.01190349101
437	0.01185143425
438	0.01177296831
439	0.01173954844
440	0.01166179465
441	0.01160923287
442	0.01156832949
443	0.01145919548
444	0.01135262361
445	0.01124155903
446	0.01117114592
447	0.01110089906
448	0.01100875833
449	0.01092116375
450	0.01082694059
451	0.01076119172
452	0.01070242933
453	0.01068966874
454	0.01063943715
455	0.01061331724
456	0.01058210568
457	0.01054094605
458	0.01049070759
459	0.01039386307
460	0.01036835564
461	0.01032339959
462	0.01025401209
463	0.01019652873
464	0.01013267172
465	0.010124064
466	0.01009845369
467	0.01001109127
468	0.009950120363
469	0.009940465629
470	0.009900194538
471	0.009794144923
472	0.009779459024
473	0.009713166707
474	0.009616098156
475	0.009584689434
476	0.009530922599
477	0.009514194604
478	0.00944612644
479	0.009406495563
480	0.009331679464
481	0.009252388431
482	0.009226703537
483	0.009150110368
484	0.009136018064
485	0.009123034072
486	0.009031058008
487	0.008994244546
488	0.008943318772
489	0.008853345476
490	0.008776578821
491	0.008729993062
492	0.008646379524
493	0.008603574648
494	0.008543061931
495	0.008523889073
496	0.008463049409
497	0.008445113395
498	0.008413776417
499	0.008339140133
500	0.00824928149
501	0.008193605952
502	0.008160676742
503	0.008088148802
504	0.00806875012
505	0.008028506591
506	0.007987356498
507	0.007950206082
508	0.007906975475
509	0.007885316465
510	0.007824615726
511	0.007788586897
512	0.007749659198
513	0.00767074898
514	0.007650237019
515	0.007550786053
516	0.007463384058
517	0.007413326182
518	0.00739741094
519	0.007304614855
520	0.007267094817
521	0.007229935485
522	0.007184513784
523	0.007115367814
524	0.00704572512
525	0.007008499984
526	0.006931431214
527	0.00691176775
528	0.006851548467
529	0.006800988487
530	0.006775717696
531	0.006748029656
532	0.006724919977
533	0.006702235977
534	0.006679052251
535	0.006661177113
536	0.006606294305
537	0.006535684761
538	0.006477547214
539	0.006416787993
540	0.006363209199
541	0.006344195129
542	0.006321333408
543	0.006309774614
544	0.006247623459
545	0.006235042326
546	0.006175973357
547	0.006121609342
548	0.006086249476
549	0.006043870592
550	0.0060273026
551	0.00597313219
552	0.005948215526
553	0.005935330734
554	0.005899249773
555	0.005885587915
556	0.005838598833
557	0.005792581147
558	0.005764471604
559	0.005750634674
560	0.00573785625
561	0.005670782778
562	0.00565906164
563	0.005615277489
564	0.005586622473
565	0.005540316695
566	0.005504069374
567	0.005434437156
568	0.005402935329
569	0.005358536995
570	0.005335688723
571	0.005312727518
572	0.005276227075
573	0.005250967764
574	0.005235119827
575	0.005177340472
576	0.005144232163
577	0.005119958858
578	0.00509071236
579	0.005065742074
580	0.005029043614
581	0.00499849106
582	0.00497120946
583	0.004958438913
584	0.004936361605
585	0.004915746168
586	0.004889772042
587	0.004855177606
588	0.004830496558
589	0.004793239365
590	0.004744444722
591	0.004705585923
592	0.004653645981
593	0.004620271242
594	0.004610320358
595	0.004601652727
596	0.004560509634
597	0.004529906943
598	0.004497763711
599	0.004466908423
600	0.004441930251
601	0.004416548609
602	0.004410217583
603	0.004405439503
604	0.00439367516
605	0.004362162445
606	0.004342842805
607	0.004331760957
608	0.004293829758
609	0.004267987766
610	0.004241831085
611	0.004211308797
612	0.004180418404
613	0.004167953419
614	0.004148626561
615	0.004112884143
616	0.004101394907
617	0.004096497153
618	0.004057840428
619	0.004026421776
620	0.003996673497
621	0.003963547783
622	0.003949235932
623	0.003936721854
624	0.003895719712
625	0.003886250514
626	0.003860222921
627	0.003825318482
628	0.003800285265
629	0.003772485959
630	0.0037479538
631	0.003732988015
632	0.003718011073
633	0.003704890614
634	0.00369563618
635	0.003667634734
636	0.003645572127
637	0.003635221643
638	0.003612052977
639	0.003586047111
640	0.003578754385
641	0.00356195714
642	0.003552032368
643	0.003539158701
644	0.003508418016
645	0.003493037233
646	0.003475680468
647	0.003468231553
648	0.003437877406
649	0.003419628038
650	0.003411835202
651	0.003388414758
652	0.003364055001
653	0.003354182116
654	0.003335289944
655	0.003307708588
656	0.003293632805
657	0.003282767652
658	0.003279627321
659	0.00326762654
660	0.003259146269
661	0.003247563039
662	0.003225087383
663	0.003219581238
664	0.003203974809
665	0.003186067749
666	0.003167983039
667	0.003164307457
668	0.003161211741
669	0.003143885475
670	0.003133243945
671	0.003116656325
672	0.003093764285
673	0.003068153355
674	0.003044126054
675	0.003019743831
676	0.002999047842
677	0.002990596265
678	0.002987724769
679	0.002970167061
680	0.002952862767
681	0.002926211581
682	0.00291280668
683	0.00289387008
684	0.002875527936
685	0.002871609076
686	0.002865448098
687	0.002838723317
688	0.002823378992
689	0.002799261221
690	0.002771460106
691	0.002746239212
692	0.002719877251
693	0.002707929946
694	0.002691749306
695	0.002674473914
696	0.002654610228
697	0.002646609838
698	0.002637104774
699	0.002620835384
700	0.00260375926
701	0.002597816814
702	0.002594710466
703	0.002585732798
704	0.00258008191
705	0.002564314587
706	0.00254221601
707	0.002536135535
708	0.002516228853
709	0.002487283068
710	0.002466799314
711	0.002441272879
712	0.002426404553
713	0.002419232199
714	0.002411447842
715	0.002393343925
716	0.002376491983
717	0.00237478552
718	0.002356370739
719	0.002326232786
720	0.002319643183
721	0.002311082145
722	0.002308851266
723	0.002295215036
724	0.002284339766
