iter	Passed	Remaining
0	0	80
1	0	73
2	1	70
3	1	68
4	1	67
5	2	70
6	2	75
7	3	75
8	3	75
9	3	74
10	4	73
11	4	72
12	4	73
13	5	72
14	5	71
15	5	70
16	6	69
17	6	67
18	6	66
19	7	65
20	7	64
21	7	63
22	7	62
23	8	62
24	8	62
25	8	61
26	9	61
27	9	60
28	9	59
29	10	58
30	10	58
31	10	57
32	11	57
33	11	57
34	11	56
35	11	56
36	12	55
37	12	54
38	12	54
39	13	54
40	13	53
41	13	53
42	13	52
43	14	52
44	14	51
45	14	51
46	14	50
47	15	50
48	15	49
49	15	49
50	16	48
51	16	48
52	16	47
53	16	47
54	16	46
55	17	46
56	17	45
57	17	44
58	17	44
59	18	43
60	18	43
61	18	43
62	18	43
63	19	42
64	19	42
65	19	42
66	20	42
67	21	42
68	21	42
69	21	42
70	22	41
71	22	41
72	22	41
73	23	41
74	23	41
75	23	41
76	25	41
77	25	41
78	25	41
79	26	41
80	26	40
81	26	40
82	27	40
83	27	39
84	27	39
85	28	39
86	28	38
87	28	38
88	29	38
89	29	37
90	29	37
91	29	37
92	30	36
93	30	36
94	30	36
95	31	35
96	31	35
97	31	35
98	32	34
99	32	34
100	32	33
101	32	33
102	33	33
103	33	32
104	33	32
105	34	32
106	34	31
107	34	31
108	34	31
109	35	30
110	35	30
111	35	30
112	36	29
113	36	29
114	36	28
115	36	28
116	37	28
117	37	27
118	37	27
119	37	27
120	38	26
121	38	26
122	38	26
123	39	25
124	39	25
125	39	25
126	40	24
127	40	24
128	40	24
129	40	23
130	41	23
131	41	23
132	41	22
133	42	22
134	42	22
135	42	21
136	42	21
137	43	21
138	43	20
139	43	20
140	43	20
141	44	19
142	44	19
143	44	19
144	45	18
145	45	18
146	45	18
147	45	17
148	46	17
149	46	17
150	46	17
151	47	16
152	47	16
153	47	16
154	48	15
155	48	15
156	48	15
157	48	14
158	49	14
159	49	14
160	49	13
161	50	13
162	50	13
163	50	12
164	50	12
165	51	12
166	51	12
167	51	11
168	51	11
169	52	11
170	52	10
171	52	10
172	53	10
173	53	9
174	53	9
175	53	9
176	54	8
177	54	8
178	54	8
179	54	7
180	55	7
181	55	7
182	55	7
183	56	6
184	56	6
185	56	6
186	57	5
187	57	5
188	57	5
189	58	4
190	58	4
191	58	4
192	58	3
193	59	3
194	59	3
195	59	3
196	59	2
197	60	2
198	60	2
199	60	1
200	60	1
201	61	1
202	61	0
203	61	0
204	62	0
205	62	0
